CALIFICACION;LUGAR;MES;ANIO;HORA;IMP_BOL;DESCUENTO; PUNTOS;DENUNCIANTE;HECHO-BOL;COORDENADA-X;COORDENADA-Y 
GRAVE     ;123 GNRAL RICARDOS - PSO QUINC          ;5;2021;01.59; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  439232.86; 4472262.78
GRAVE     ;117 JOSE ABASCAL - SANTA ENGRA          ;5;2021;02.06; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  440671.00; 4476875.00
GRAVE     ;098 AV MEDITERRANEO 32                  ;5;2021;06.33; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  443017.57; 4473349.72
GRAVE     ;110 AV MARQUES DE CORBERA - RI          ;5;2021;07.21; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  444461.78; 4475104.19
GRAVE     ;121 CRA. CARABANCHEL ARAVACA -          ;5;2021;07.31; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  434397.30; 4472312.57
GRAVE     ;098 AV MEDITERRANEO 32                  ;5;2021;08.05; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  443017.57; 4473349.72
GRAVE     ;123 GNRAL RICARDOS - PSO QUINC          ;5;2021;08.33; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  439232.86; 4472262.78
GRAVE     ;124 CEA BERMUDEZ - VALLEHERMOS          ;5;2021;08.52; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  440000.69; 4476904.97
GRAVE     ;110 AV MARQUES DE CORBERA - RI          ;5;2021;09.01; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  444461.78; 4475104.19
GRAVE     ;104 FCO PI Y MARGALL ESQ ANA A          ;5;2021;09.06; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  444180.30; 4482686.90
GRAVE     ;111 ALCALA - SAN ROMUALDO               ;5;2021;09.16; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  447180.68; 4477170.40
GRAVE     ;090 AV ILUSTRACION ESQ BETANZO          ;5;2021;09.19; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  439719.40; 4481540.00
GRAVE     ;101 SINESIO DELGADO GTA P. CEB          ;5;2021;09.32; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  439798.51; 4480503.35
GRAVE     ;091 AV ANDALUCIA METRO S.CRIST          ;5;2021;09.43; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  441264.06; 4466098.35
GRAVE     ;121 CRA. CARABANCHEL ARAVACA -          ;5;2021;09.46; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  434397.30; 4472312.57
GRAVE     ;116 VIA LUSITANA - PL ELIPTICA          ;5;2021;09.47; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  439132.53; 4470910.90
GRAVE     ;122 AV. PESETA - CTRA BARRIO F          ;5;2021;09.51; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  435089.95; 4469256.88
GRAVE     ;124 CEA BERMUDEZ - VALLEHERMOS          ;5;2021;09.52; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  440000.69; 4476904.97
GRAVE     ;112 ASCAO - EMILIO FERRARI              ;5;2021;09.54; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  445783.54; 4475923.73
GRAVE     ;118 MONFORTE DE LEMOS - FINIST          ;5;2021;09.59; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  440583.84; 4481460.37
GRAVE     ;110 AV MARQUES DE CORBERA - RI          ;5;2021;10.03; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  444461.78; 4475104.19
GRAVE     ;111 ALCALA - SAN ROMUALDO               ;5;2021;10.05; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  447180.68; 4477170.40
GRAVE     ;110 AV MARQUES DE CORBERA - RI          ;5;2021;10.06; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  444461.78; 4475104.19
GRAVE     ;116 VIA LUSITANA - PL ELIPTICA          ;5;2021;10.06; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  439132.53; 4470910.90
GRAVE     ;123 GNRAL RICARDOS - PSO QUINC          ;5;2021;10.08; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  439232.86; 4472262.78
GRAVE     ;111 ALCALA - SAN ROMUALDO               ;5;2021;10.15; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  447180.68; 4477170.40
GRAVE     ;112 ASCAO - EMILIO FERRARI              ;5;2021;10.16; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  445783.54; 4475923.73
GRAVE     ;114 ALBERTO AGUILERA - BALTASA          ;5;2021;10.19; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  439802.04; 4475938.23
GRAVE     ;059 PO CASTELLANA 167                   ;5;2021;10.23; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  441560.69; 4479431.48
GRAVE     ;089 AV LOGROÑO ESQ JOAQUIN IBA          ;5;2021;10.27; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  449801.53; 4479233.06
GRAVE     ;111 ALCALA - SAN ROMUALDO               ;5;2021;10.28; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  447180.68; 4477170.40
GRAVE     ;116 VIA LUSITANA - PL ELIPTICA          ;5;2021;10.38; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  439132.53; 4470910.90
GRAVE     ;116 VIA LUSITANA - PL ELIPTICA          ;5;2021;10.39; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  439132.53; 4470910.90
GRAVE     ;093 CAMINO DE LOS VINATEROS 47          ;5;2021;10.41; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  444524.76; 4473763.40
GRAVE     ;122 AV. PESETA - CTRA BARRIO F          ;5;2021;10.41; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  435089.95; 4469256.88
GRAVE     ;118 MONFORTE DE LEMOS - FINIST          ;5;2021;10.43; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  440583.84; 4481460.37
GRAVE     ;120 CMNO BARRIAL - FDO LAZARO           ;5;2021;10.43; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  432850.36; 4479575.82
GRAVE     ;105 FTE CARRANTONA ESQ HAC.PAV          ;5;2021;10.48; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  446113.77; 4472632.74
GRAVE     ;124 CEA BERMUDEZ - VALLEHERMOS          ;5;2021;10.50; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  440000.69; 4476904.97
GRAVE     ;099 MENENDEZ PELAYO H. NIÑO JE          ;5;2021;10.50; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  442633.05; 4474191.88
GRAVE     ;104 FCO PI Y MARGALL ESQ ANA A          ;5;2021;10.53; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  444180.30; 4482686.90
GRAVE     ;116 VIA LUSITANA - PL ELIPTICA          ;5;2021;10.56; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  439132.53; 4470910.90
GRAVE     ;116 VIA LUSITANA - PL ELIPTICA          ;5;2021;10.56; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  439132.53; 4470910.90
GRAVE     ;087 AV FILIPINAS 18                     ;5;2021;10.58; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  439856.91; 4477037.97
GRAVE     ;093 CAMINO DE LOS VINATEROS 47          ;5;2021;10.59; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  444524.76; 4473763.40
GRAVE     ;116 VIA LUSITANA - PL ELIPTICA          ;5;2021;11.00; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  439132.53; 4470910.90
GRAVE     ;101 SINESIO DELGADO GTA P. CEB          ;5;2021;11.00; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  439798.51; 4480503.35
GRAVE     ;116 VIA LUSITANA - PL ELIPTICA          ;5;2021;11.01; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  439132.53; 4470910.90
GRAVE     ;098 AV MEDITERRANEO 32                  ;5;2021;11.05; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  443017.57; 4473349.72
GRAVE     ;110 AV MARQUES DE CORBERA - RI          ;5;2021;11.10; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  444461.78; 4475104.19
GRAVE     ;116 VIA LUSITANA - PL ELIPTICA          ;5;2021;11.11; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  439132.53; 4470910.90
GRAVE     ;124 CEA BERMUDEZ - VALLEHERMOS          ;5;2021;11.12; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  440000.69; 4476904.97
GRAVE     ;104 FCO PI Y MARGALL ESQ ANA A          ;5;2021;11.14; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  444180.30; 4482686.90
GRAVE     ;120 CMNO BARRIAL - FDO LAZARO           ;5;2021;11.16; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  432850.36; 4479575.82
GRAVE     ;105 FTE CARRANTONA ESQ HAC.PAV          ;5;2021;11.17; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  446113.77; 4472632.74
GRAVE     ;116 VIA LUSITANA - PL ELIPTICA          ;5;2021;11.18; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  439132.53; 4470910.90
GRAVE     ;090 AV ILUSTRACION ESQ BETANZO          ;5;2021;11.19; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  439719.40; 4481540.00
GRAVE     ;087 AV FILIPINAS 18                     ;5;2021;11.24; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  439856.91; 4477037.97
GRAVE     ;116 VIA LUSITANA - PL ELIPTICA          ;5;2021;11.28; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  439132.53; 4470910.90
GRAVE     ;110 AV MARQUES DE CORBERA - RI          ;5;2021;11.33; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  444461.78; 4475104.19
GRAVE     ;118 MONFORTE DE LEMOS - FINIST          ;5;2021;11.36; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  440583.84; 4481460.37
GRAVE     ;118 MONFORTE DE LEMOS - FINIST          ;5;2021;11.40; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  440583.84; 4481460.37
GRAVE     ;116 VIA LUSITANA - PL ELIPTICA          ;5;2021;11.46; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  439132.53; 4470910.90
GRAVE     ;116 VIA LUSITANA - PL ELIPTICA          ;5;2021;11.48; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  439132.53; 4470910.90
GRAVE     ;119 AV. AMERICA - CARTAGENA             ;5;2021;11.53; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  443037.87; 4476937.06
GRAVE     ;116 VIA LUSITANA - PL ELIPTICA          ;5;2021;11.53; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  439132.53; 4470910.90
GRAVE     ;090 AV ILUSTRACION ESQ BETANZO          ;5;2021;11.57; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  439719.40; 4481540.00
GRAVE     ;116 VIA LUSITANA - PL ELIPTICA          ;5;2021;11.58; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  439132.53; 4470910.90
GRAVE     ;087 AV FILIPINAS 18                     ;5;2021;12.07; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  439856.91; 4477037.97
GRAVE     ;110 AV MARQUES DE CORBERA - RI          ;5;2021;12.08; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  444461.78; 4475104.19
GRAVE     ;099 MENENDEZ PELAYO H. NIÑO JE          ;5;2021;12.10; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  442633.05; 4474191.88
GRAVE     ;122 AV. PESETA - CTRA BARRIO F          ;5;2021;12.11; 200.00;SI;4;AGENTES DE MOVILIDAD;REBASAR UN SEMÁFORO EN FASE ROJA.                                                                                            ;  435089.95; 4469256.88
