Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","12/11/2021 09:33 UTC"
"Last updated:","10 November 2021"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Population figures"
"Content type","End year stock population totals"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=S7uCAi
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Population types included","REF,ROC,ASY,IDP,IOC,VDA,OOC,STA"
Years:,"2021,2021"
Origin:,all
"Country of asylum:",all
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Refugees under UNHCR's mandate",Asylum-seekers,"IDPs of concern to UNHCR","Venezuelans displaced abroad","Stateless persons","Others of concern"
2021,Afghanistan,AFG,Afghanistan,AFG,0,0,3204805,,0,84742
2021,Afghanistan,AFG,Albania,ALB,0,0,0,,0,215
2021,Afghanistan,AFG,Egypt,EGY,41,36,0,,0,0
2021,Afghanistan,AFG,Argentina,ARG,12,0,0,,0,0
2021,Afghanistan,AFG,Armenia,ARM,5,0,0,,0,0
2021,Afghanistan,AFG,Australia,AUS,10108,1882,0,,0,0
2021,Afghanistan,AFG,Austria,AUT,41037,4810,0,,0,0
2021,Afghanistan,AFG,Azerbaijan,AZE,1109,24,0,,0,0
2021,Afghanistan,AFG,Belgium,BEL,4619,3396,0,,0,0
2021,Afghanistan,AFG,Belarus,BLR,207,8,0,,0,0
2021,Afghanistan,AFG,Brazil,BRA,145,172,0,,0,0
2021,Afghanistan,AFG,"Bosnia and Herzegovina",BIH,0,29,0,,0,824
2021,Afghanistan,AFG,Bulgaria,BGR,246,731,0,,0,0
2021,Afghanistan,AFG,Canada,CAN,2416,381,0,,0,0
2021,Afghanistan,AFG,China,CHN,31,0,0,,0,0
2021,Afghanistan,AFG,Chile,CHL,13,13,0,,0,0
2021,Afghanistan,AFG,Colombia,COL,9,0,0,,0,0
2021,Afghanistan,AFG,Cuba,CUB,22,0,0,,0,0
2021,Afghanistan,AFG,Cyprus,CYP,16,83,0,,0,0
2021,Afghanistan,AFG,Czechia,CZE,39,6,0,,0,0
2021,Afghanistan,AFG,Denmark,DNK,1922,51,0,,0,0
2021,Afghanistan,AFG,"Dominican Rep.",DOM,0,8,0,,0,0
2021,Afghanistan,AFG,Ecuador,ECU,146,0,0,,0,0
2021,Afghanistan,AFG,Estonia,EST,7,0,0,,0,0
